# Index 	 Time 	 Data
2.742400000000000000e+04 3.066797322352941264e+05 4.806000000000000000e+03
2.742500000000000000e+04 3.066888169411764247e+05 3.996000000000000000e+03
2.742600000000000000e+04 3.066976451764705707e+05 4.138000000000000000e+03
2.742700000000000000e+04 3.067057322352941264e+05 3.944000000000000000e+03
2.742800000000000000e+04 3.067147999999999302e+05 4.390000000000000000e+03
2.742900000000000000e+04 3.067237999999999884e+05 4.324000000000000000e+03
2.743000000000000000e+04 3.067328169411764247e+05 4.181000000000000000e+03
2.743100000000000000e+04 3.067416451764705707e+05 4.634000000000000000e+03
2.743200000000000000e+04 3.067497322352941264e+05 4.456000000000000000e+03
2.743300000000000000e+04 3.067587999999999884e+05 4.026000000000000000e+03
2.743400000000000000e+04 3.067677999999999302e+05 3.813000000000000000e+03
2.743500000000000000e+04 3.067767999999999884e+05 3.994000000000000000e+03
2.743600000000000000e+04 3.067858169411764247e+05 3.709000000000000000e+03
2.743700000000000000e+04 3.067946451764705707e+05 3.638000000000000000e+03
2.743800000000000000e+04 3.068027322352941264e+05 4.378000000000000000e+03
2.743900000000000000e+04 3.068117999999999884e+05 4.513000000000000000e+03
2.744000000000000000e+04 3.068207999999999302e+05 4.359000000000000000e+03
2.744100000000000000e+04 3.068298169411764247e+05 4.170000000000000000e+03
2.744200000000000000e+04 3.068386451764705707e+05 3.619000000000000000e+03
2.744300000000000000e+04 3.068467322352941264e+05 3.301000000000000000e+03
2.744400000000000000e+04 3.068557999999999884e+05 2.768000000000000000e+03
2.744500000000000000e+04 3.068647999999999884e+05 3.414000000000000000e+03
2.744600000000000000e+04 3.068737999999999302e+05 4.127000000000000000e+03
2.744700000000000000e+04 3.068828169411764247e+05 4.000000000000000000e+03
2.744800000000000000e+04 3.068916451764705707e+05 4.182000000000000000e+03
2.744900000000000000e+04 3.068997322352941264e+05 3.905000000000000000e+03
2.745000000000000000e+04 3.069087999999999884e+05 3.083000000000000000e+03
2.745100000000000000e+04 3.069177999999999884e+05 3.573000000000000000e+03
2.745200000000000000e+04 3.069268169411764247e+05 3.691000000000000000e+03
2.745300000000000000e+04 3.069356451764705125e+05 3.214000000000000000e+03
2.745400000000000000e+04 3.069437322352941264e+05 3.277000000000000000e+03
2.745500000000000000e+04 3.069527999999999884e+05 2.877000000000000000e+03
2.745600000000000000e+04 3.069617999999999884e+05 3.971000000000000000e+03
2.745700000000000000e+04 3.069708169411764829e+05 4.664000000000000000e+03
2.745800000000000000e+04 3.069796451764705707e+05 4.525000000000000000e+03
2.745900000000000000e+04 3.069877322352940682e+05 4.937000000000000000e+03
2.746000000000000000e+04 3.069967999999999884e+05 4.620000000000000000e+03
2.746100000000000000e+04 3.070057999999999884e+05 4.495000000000000000e+03
2.746200000000000000e+04 3.070147999999999884e+05 4.702000000000000000e+03
2.746300000000000000e+04 3.070238169411764829e+05 4.500000000000000000e+03
2.746400000000000000e+04 3.070326451764705707e+05 4.292000000000000000e+03
2.746500000000000000e+04 3.070407322352940682e+05 3.230000000000000000e+03
2.746600000000000000e+04 3.070497999999999884e+05 2.909000000000000000e+03
2.746700000000000000e+04 3.070587999999999884e+05 3.312000000000000000e+03
2.746800000000000000e+04 3.070678169411764247e+05 3.829000000000000000e+03
2.746900000000000000e+04 3.070766451764705707e+05 3.760000000000000000e+03
2.747000000000000000e+04 3.070847322352941264e+05 3.267000000000000000e+03
2.747100000000000000e+04 3.070937999999999302e+05 2.842000000000000000e+03
2.747200000000000000e+04 3.071027999999999884e+05 3.224000000000000000e+03
2.747300000000000000e+04 3.071118169411764247e+05 3.031000000000000000e+03
2.747400000000000000e+04 3.071206451764705707e+05 3.657000000000000000e+03
2.747500000000000000e+04 3.071287322352941264e+05 3.247000000000000000e+03
2.747600000000000000e+04 3.071377999999999884e+05 3.690000000000000000e+03
2.747700000000000000e+04 3.071467999999999884e+05 4.047000000000000000e+03
2.747800000000000000e+04 3.071557999999999302e+05 3.243000000000000000e+03
2.747900000000000000e+04 3.071648169411764247e+05 2.830000000000000000e+03
2.748000000000000000e+04 3.071736451764705707e+05 3.373000000000000000e+03
2.748100000000000000e+04 3.071817322352941264e+05 3.419000000000000000e+03
2.748200000000000000e+04 3.071907999999999884e+05 3.019000000000000000e+03
2.748300000000000000e+04 3.071997999999999884e+05 3.121000000000000000e+03
2.748400000000000000e+04 3.072088169411764247e+05 3.052000000000000000e+03
2.748500000000000000e+04 3.072176451764705707e+05 3.088000000000000000e+03
2.748600000000000000e+04 3.072257322352941264e+05 2.943000000000000000e+03
