# Index 	 Time 	 Data
4.861600000000000000e+04 5.513910619354838273e+05 4.851000000000000000e+03
4.861700000000000000e+04 5.514059845161291305e+05 4.864000000000000000e+03
4.861800000000000000e+04 5.514211504516130080e+05 5.046000000000000000e+03
4.861900000000000000e+04 5.514370464516129578e+05 5.149000000000000000e+03
4.862000000000000000e+04 5.514521504516130080e+05 4.835000000000000000e+03
4.862100000000000000e+04 5.514680464516129578e+05 5.111000000000000000e+03
4.862200000000000000e+04 5.514831504516127752e+05 4.964000000000000000e+03
4.862300000000000000e+04 5.514990619354838273e+05 4.789000000000000000e+03
4.862400000000000000e+04 5.515139845161288977e+05 5.035000000000000000e+03
4.862500000000000000e+04 5.515291504516127752e+05 4.613000000000000000e+03
4.862600000000000000e+04 5.515450464516127249e+05 5.461000000000000000e+03
4.862700000000000000e+04 5.515601504516127752e+05 4.469000000000000000e+03
4.862800000000000000e+04 5.515760619354838273e+05 4.404000000000000000e+03
4.862900000000000000e+04 5.515909845161291305e+05 4.590000000000000000e+03
4.863000000000000000e+04 5.516061504516130080e+05 4.377000000000000000e+03
4.863100000000000000e+04 5.516220464516129578e+05 4.164000000000000000e+03
4.863200000000000000e+04 5.516371504516130080e+05 3.809000000000000000e+03
4.863300000000000000e+04 5.516530464516129578e+05 3.661000000000000000e+03
4.863400000000000000e+04 5.516681504516127752e+05 3.864000000000000000e+03
4.863500000000000000e+04 5.516840619354838273e+05 3.750000000000000000e+03
4.863600000000000000e+04 5.516989845161288977e+05 3.851000000000000000e+03
4.863700000000000000e+04 5.517141504516127752e+05 3.543000000000000000e+03
4.863800000000000000e+04 5.517300464516127249e+05 3.736000000000000000e+03
4.863900000000000000e+04 5.517451504516127752e+05 3.677000000000000000e+03
4.864000000000000000e+04 5.517610464516127249e+05 3.962000000000000000e+03
4.864100000000000000e+04 5.517761504516127752e+05 3.827000000000000000e+03
4.864200000000000000e+04 5.517920619354840601e+05 3.892000000000000000e+03
4.864300000000000000e+04 5.518069845161291305e+05 4.217000000000000000e+03
4.864400000000000000e+04 5.518221504516130080e+05 3.847000000000000000e+03
4.864500000000000000e+04 5.518380464516129578e+05 4.179000000000000000e+03
4.864600000000000000e+04 5.518531504516130080e+05 3.971000000000000000e+03
4.864700000000000000e+04 5.518690464516127249e+05 3.943000000000000000e+03
4.864800000000000000e+04 5.518841504516127752e+05 3.750000000000000000e+03
4.864900000000000000e+04 5.519000619354838273e+05 3.446000000000000000e+03
4.865000000000000000e+04 5.519149845161288977e+05 3.543000000000000000e+03
4.865100000000000000e+04 5.519301504516127752e+05 3.802000000000000000e+03
4.865200000000000000e+04 5.519460464516127249e+05 3.935000000000000000e+03
4.865300000000000000e+04 5.519611504516127752e+05 3.977000000000000000e+03
4.865400000000000000e+04 5.519770619354840601e+05 3.569000000000000000e+03
4.865500000000000000e+04 5.519919845161291305e+05 3.908000000000000000e+03
4.865600000000000000e+04 5.520071504516130080e+05 3.925000000000000000e+03
4.865700000000000000e+04 5.520230464516129578e+05 3.841000000000000000e+03
4.865800000000000000e+04 5.520381504516130080e+05 3.781000000000000000e+03
4.865900000000000000e+04 5.520540464516127249e+05 3.769000000000000000e+03
4.866000000000000000e+04 5.520691504516127752e+05 3.592000000000000000e+03
4.866100000000000000e+04 5.520850619354838273e+05 3.540000000000000000e+03
4.866200000000000000e+04 5.520999845161288977e+05 3.498000000000000000e+03
4.866300000000000000e+04 5.521151504516127752e+05 3.841000000000000000e+03
4.866400000000000000e+04 5.521310464516127249e+05 3.701000000000000000e+03
4.866500000000000000e+04 5.521461504516127752e+05 3.902000000000000000e+03
4.866600000000000000e+04 5.521620464516127249e+05 3.727000000000000000e+03
4.866700000000000000e+04 5.521771504516130080e+05 3.678000000000000000e+03
4.866800000000000000e+04 5.521930464516129578e+05 4.154000000000000000e+03
4.866900000000000000e+04 5.522081504516130080e+05 4.544000000000000000e+03
4.867000000000000000e+04 5.522240619354840601e+05 3.914000000000000000e+03
4.867100000000000000e+04 5.522389845161291305e+05 4.332000000000000000e+03
4.867200000000000000e+04 5.522541504516127752e+05 3.918000000000000000e+03
4.867300000000000000e+04 5.522700464516127249e+05 3.718000000000000000e+03
4.867400000000000000e+04 5.522851504516127752e+05 4.008000000000000000e+03
4.867500000000000000e+04 5.523010464516127249e+05 4.185000000000000000e+03
4.867600000000000000e+04 5.523161504516127752e+05 3.992000000000000000e+03
4.867700000000000000e+04 5.523320464516127249e+05 4.110000000000000000e+03
4.867800000000000000e+04 5.523471504516127752e+05 4.174000000000000000e+03
4.867900000000000000e+04 5.523630464516129578e+05 4.141000000000000000e+03
4.868000000000000000e+04 5.523781504516130080e+05 4.444000000000000000e+03
4.868100000000000000e+04 5.523940464516129578e+05 4.568000000000000000e+03
4.868200000000000000e+04 5.524091504516130080e+05 4.110000000000000000e+03
4.868300000000000000e+04 5.524250464516129578e+05 4.376000000000000000e+03
4.868400000000000000e+04 5.524401504516127752e+05 4.056000000000000000e+03
4.868500000000000000e+04 5.524560464516127249e+05 4.342000000000000000e+03
4.868600000000000000e+04 5.524711504516127752e+05 3.966000000000000000e+03
4.868700000000000000e+04 5.524870464516127249e+05 4.142000000000000000e+03
4.868800000000000000e+04 5.525021504516127752e+05 4.215000000000000000e+03
4.868900000000000000e+04 5.525180464516127249e+05 4.978000000000000000e+03
4.869000000000000000e+04 5.525331504516127752e+05 4.347000000000000000e+03
4.869100000000000000e+04 5.525490464516127249e+05 4.689000000000000000e+03
4.869200000000000000e+04 5.525641504516130080e+05 4.273000000000000000e+03
4.869300000000000000e+04 5.525800464516129578e+05 4.299000000000000000e+03
4.869400000000000000e+04 5.525951504516130080e+05 4.172000000000000000e+03
4.869500000000000000e+04 5.526110464516129578e+05 3.868000000000000000e+03
4.869600000000000000e+04 5.526261504516130080e+05 4.201000000000000000e+03
4.869700000000000000e+04 5.526420464516127249e+05 4.502000000000000000e+03
4.869800000000000000e+04 5.526571504516127752e+05 4.578000000000000000e+03
4.869900000000000000e+04 5.526730464516127249e+05 4.930000000000000000e+03
4.870000000000000000e+04 5.526881504516127752e+05 4.212000000000000000e+03
4.870100000000000000e+04 5.527040464516127249e+05 4.422000000000000000e+03
4.870200000000000000e+04 5.527191504516127752e+05 4.120000000000000000e+03
4.870300000000000000e+04 5.527350619354838273e+05 3.956000000000000000e+03
4.870400000000000000e+04 5.527499845161291305e+05 3.735000000000000000e+03
4.870500000000000000e+04 5.527651504516130080e+05 3.874000000000000000e+03
4.870600000000000000e+04 5.527810464516129578e+05 4.422000000000000000e+03
4.870700000000000000e+04 5.527961504516130080e+05 4.481000000000000000e+03
4.870800000000000000e+04 5.528120464516129578e+05 4.985000000000000000e+03
4.870900000000000000e+04 5.528271504516127752e+05 4.237000000000000000e+03
4.871000000000000000e+04 5.528430464516127249e+05 3.863000000000000000e+03
4.871100000000000000e+04 5.528581504516127752e+05 3.964000000000000000e+03
4.871200000000000000e+04 5.528740464516127249e+05 3.757000000000000000e+03
4.871300000000000000e+04 5.528891504516127752e+05 3.689000000000000000e+03
4.871400000000000000e+04 5.529050464516127249e+05 3.807000000000000000e+03
4.871500000000000000e+04 5.529201504516127752e+05 3.901000000000000000e+03
4.871600000000000000e+04 5.529360464516127249e+05 4.184000000000000000e+03
4.871700000000000000e+04 5.529511504516130080e+05 4.115000000000000000e+03
4.871800000000000000e+04 5.529670464516129578e+05 4.052000000000000000e+03
4.871900000000000000e+04 5.529821504516130080e+05 4.328000000000000000e+03
4.872000000000000000e+04 5.529980464516129578e+05 4.258000000000000000e+03
4.872100000000000000e+04 5.530131504516130080e+05 5.031000000000000000e+03
4.872200000000000000e+04 5.530290464516127249e+05 4.867000000000000000e+03
4.872300000000000000e+04 5.530441504516127752e+05 4.271000000000000000e+03
4.872400000000000000e+04 5.530600464516127249e+05 4.922000000000000000e+03
4.872500000000000000e+04 5.530751504516127752e+05 5.356000000000000000e+03
4.872600000000000000e+04 5.530910464516127249e+05 5.331000000000000000e+03
4.872700000000000000e+04 5.531061504516127752e+05 5.792000000000000000e+03
4.872800000000000000e+04 5.531220464516127249e+05 5.484000000000000000e+03
4.872900000000000000e+04 5.531371504516130080e+05 5.466000000000000000e+03
4.873000000000000000e+04 5.531530464516129578e+05 5.751000000000000000e+03
4.873100000000000000e+04 5.531681504516130080e+05 5.256000000000000000e+03
4.873200000000000000e+04 5.531840464516129578e+05 5.500000000000000000e+03
4.873300000000000000e+04 5.531991504516130080e+05 5.516000000000000000e+03
4.873400000000000000e+04 5.532150619354838273e+05 5.309000000000000000e+03
4.873500000000000000e+04 5.532299845161288977e+05 5.138000000000000000e+03
4.873600000000000000e+04 5.532451504516127752e+05 4.985000000000000000e+03
4.873700000000000000e+04 5.532610464516127249e+05 5.037000000000000000e+03
4.873800000000000000e+04 5.532761504516127752e+05 4.833000000000000000e+03
4.873900000000000000e+04 5.532920464516127249e+05 5.036000000000000000e+03
4.874000000000000000e+04 5.533071504516127752e+05 4.397000000000000000e+03
4.874100000000000000e+04 5.533230464516127249e+05 4.494000000000000000e+03
4.874200000000000000e+04 5.533381504516130080e+05 4.619000000000000000e+03
4.874300000000000000e+04 5.533540619354840601e+05 4.613000000000000000e+03
4.874400000000000000e+04 5.533689845161291305e+05 4.526000000000000000e+03
4.874500000000000000e+04 5.533841504516130080e+05 3.971000000000000000e+03
4.874600000000000000e+04 5.534000464516129578e+05 4.336000000000000000e+03
4.874700000000000000e+04 5.534151504516127752e+05 4.293000000000000000e+03
4.874800000000000000e+04 5.534310464516127249e+05 4.240000000000000000e+03
4.874900000000000000e+04 5.534461504516127752e+05 4.383000000000000000e+03
4.875000000000000000e+04 5.534620619354838273e+05 4.648000000000000000e+03
4.875100000000000000e+04 5.534769845161288977e+05 4.463000000000000000e+03
4.875200000000000000e+04 5.534921504516127752e+05 4.759000000000000000e+03
4.875300000000000000e+04 5.535080464516127249e+05 4.065000000000000000e+03
4.875400000000000000e+04 5.535231504516130080e+05 3.381000000000000000e+03
4.875500000000000000e+04 5.535390464516129578e+05 3.709000000000000000e+03
4.875600000000000000e+04 5.535541504516130080e+05 3.455000000000000000e+03
4.875700000000000000e+04 5.535700464516129578e+05 3.856000000000000000e+03
4.875800000000000000e+04 5.535851504516130080e+05 4.171000000000000000e+03
4.875900000000000000e+04 5.536010619354838273e+05 4.132000000000000000e+03
4.876000000000000000e+04 5.536159845161288977e+05 4.160000000000000000e+03
4.876100000000000000e+04 5.536311504516127752e+05 3.815000000000000000e+03
4.876200000000000000e+04 5.536470464516127249e+05 4.143000000000000000e+03
4.876300000000000000e+04 5.536621504516127752e+05 4.083000000000000000e+03
4.876400000000000000e+04 5.536780464516127249e+05 4.290000000000000000e+03
4.876500000000000000e+04 5.536931504516127752e+05 3.795000000000000000e+03
4.876600000000000000e+04 5.537090619354838273e+05 4.020000000000000000e+03
4.876700000000000000e+04 5.537239845161291305e+05 3.767000000000000000e+03
4.876800000000000000e+04 5.537391504516130080e+05 3.697000000000000000e+03
4.876900000000000000e+04 5.537550464516129578e+05 3.622000000000000000e+03
4.877000000000000000e+04 5.537701504516130080e+05 3.708000000000000000e+03
4.877100000000000000e+04 5.537860464516129578e+05 3.996000000000000000e+03
4.877200000000000000e+04 5.538011504516127752e+05 4.325000000000000000e+03
4.877300000000000000e+04 5.538170464516127249e+05 3.958000000000000000e+03
4.877400000000000000e+04 5.538321504516127752e+05 4.139000000000000000e+03
4.877500000000000000e+04 5.538480619354838273e+05 3.826000000000000000e+03
4.877600000000000000e+04 5.538629845161288977e+05 4.159000000000000000e+03
4.877700000000000000e+04 5.538781504516127752e+05 4.002000000000000000e+03
4.877800000000000000e+04 5.538940464516127249e+05 3.902000000000000000e+03
4.877900000000000000e+04 5.539091504516130080e+05 3.726000000000000000e+03
4.878000000000000000e+04 5.539250464516129578e+05 3.802000000000000000e+03
4.878100000000000000e+04 5.539401504516130080e+05 4.162000000000000000e+03
4.878200000000000000e+04 5.539560464516129578e+05 3.554000000000000000e+03
4.878300000000000000e+04 5.539711504516130080e+05 3.565000000000000000e+03
4.878400000000000000e+04 5.539870619354838273e+05 3.850000000000000000e+03
4.878500000000000000e+04 5.540019845161288977e+05 3.967000000000000000e+03
4.878600000000000000e+04 5.540171504516127752e+05 3.460000000000000000e+03
4.878700000000000000e+04 5.540330464516127249e+05 3.138000000000000000e+03
4.878800000000000000e+04 5.540481504516127752e+05 3.625000000000000000e+03
4.878900000000000000e+04 5.540640464516127249e+05 5.022000000000000000e+03
4.879000000000000000e+04 5.540791504516127752e+05 4.560000000000000000e+03
4.879100000000000000e+04 5.540950619354838273e+05 5.212000000000000000e+03
4.879200000000000000e+04 5.541099845161291305e+05 4.744000000000000000e+03
4.879300000000000000e+04 5.541251504516130080e+05 4.796000000000000000e+03
4.879400000000000000e+04 5.541410464516129578e+05 4.840000000000000000e+03
4.879500000000000000e+04 5.541561504516130080e+05 4.292000000000000000e+03
