# Index 	 Time 	 Data
3.915300000000000000e+04 4.156492508235293790e+05 8.378000000000000000e+03
3.915400000000000000e+04 4.156573548235294875e+05 6.768000000000000000e+03
3.915500000000000000e+04 4.156662508235293790e+05 7.633000000000000000e+03
3.915600000000000000e+04 4.156743548235294293e+05 7.637000000000000000e+03
3.915700000000000000e+04 4.156832508235293790e+05 6.437000000000000000e+03
3.915800000000000000e+04 4.156913548235294293e+05 6.363000000000000000e+03
3.915900000000000000e+04 4.157002508235293790e+05 6.783000000000000000e+03
3.916000000000000000e+04 4.157083548235294875e+05 7.437000000000000000e+03
3.916100000000000000e+04 4.157172508235293790e+05 7.235000000000000000e+03
3.916200000000000000e+04 4.157253548235294293e+05 8.198000000000000000e+03
3.916300000000000000e+04 4.157342508235293790e+05 8.837000000000000000e+03
3.916400000000000000e+04 4.157423548235294293e+05 7.111000000000000000e+03
3.916500000000000000e+04 4.157512508235293790e+05 4.491000000000000000e+03
3.916600000000000000e+04 4.157593548235294293e+05 5.784000000000000000e+03
3.916700000000000000e+04 4.157682508235294954e+05 6.816000000000000000e+03
3.916800000000000000e+04 4.157763548235293711e+05 4.583000000000000000e+03
3.916900000000000000e+04 4.157852508235294372e+05 5.973000000000000000e+03
3.917000000000000000e+04 4.157934150588235352e+05 6.249000000000000000e+03
3.917100000000000000e+04 4.158013397647058591e+05 9.572000000000000000e+03
3.917200000000000000e+04 4.158102508235293790e+05 1.204400000000000000e+04
3.917300000000000000e+04 4.158183548235294875e+05 1.158300000000000000e+04
3.917400000000000000e+04 4.158272508235293790e+05 6.649000000000000000e+03
3.917500000000000000e+04 4.158353548235294293e+05 7.173000000000000000e+03
3.917600000000000000e+04 4.158442508235293790e+05 7.193000000000000000e+03
3.917700000000000000e+04 4.158523548235294293e+05 7.013000000000000000e+03
3.917800000000000000e+04 4.158612508235293790e+05 8.370000000000000000e+03
3.917900000000000000e+04 4.158693548235294875e+05 9.284000000000000000e+03
3.918000000000000000e+04 4.158782508235293790e+05 1.111000000000000000e+04
3.918100000000000000e+04 4.158863548235294293e+05 1.634200000000000000e+04
3.918200000000000000e+04 4.158952508235293790e+05 1.093200000000000000e+04
3.918300000000000000e+04 4.159033548235294293e+05 8.394000000000000000e+03
3.918400000000000000e+04 4.159122508235293790e+05 8.621000000000000000e+03
3.918500000000000000e+04 4.159203548235294875e+05 7.977000000000000000e+03
3.918600000000000000e+04 4.159292508235293790e+05 8.436000000000000000e+03
3.918700000000000000e+04 4.159373548235294293e+05 8.068000000000000000e+03
3.918800000000000000e+04 4.159462508235293790e+05 8.718000000000000000e+03
3.918900000000000000e+04 4.159543548235294293e+05 9.105000000000000000e+03
3.919000000000000000e+04 4.159631830588235171e+05 8.498000000000000000e+03
3.919100000000000000e+04 4.159722677647059318e+05 1.004900000000000000e+04
3.919200000000000000e+04 4.159803548235294875e+05 1.038600000000000000e+04
3.919300000000000000e+04 4.159892508235293790e+05 1.141700000000000000e+04
3.919400000000000000e+04 4.159973548235294293e+05 9.271000000000000000e+03
3.919500000000000000e+04 4.160061830588235171e+05 1.090900000000000000e+04
3.919600000000000000e+04 4.160152677647059318e+05 1.054500000000000000e+04
3.919700000000000000e+04 4.160233548235294293e+05 7.679000000000000000e+03
3.919800000000000000e+04 4.160322508235294954e+05 7.727000000000000000e+03
3.919900000000000000e+04 4.160403548235293711e+05 8.759000000000000000e+03
3.920000000000000000e+04 4.160491830588235171e+05 9.389000000000000000e+03
3.920100000000000000e+04 4.160582677647059318e+05 9.040000000000000000e+03
3.920200000000000000e+04 4.160663548235294293e+05 8.847000000000000000e+03
3.920300000000000000e+04 4.160752508235293790e+05 8.422000000000000000e+03
3.920400000000000000e+04 4.160833548235294875e+05 9.003000000000000000e+03
3.920500000000000000e+04 4.160921830588235171e+05 1.034800000000000000e+04
3.920600000000000000e+04 4.161012677647058154e+05 1.051800000000000000e+04
3.920700000000000000e+04 4.161093548235294293e+05 1.014700000000000000e+04
3.920800000000000000e+04 4.161182508235293790e+05 9.853000000000000000e+03
3.920900000000000000e+04 4.161263548235294293e+05 8.615000000000000000e+03
3.921000000000000000e+04 4.161351830588235753e+05 8.199000000000000000e+03
3.921100000000000000e+04 4.161442677647058736e+05 6.765000000000000000e+03
3.921200000000000000e+04 4.161523548235294293e+05 6.250000000000000000e+03
3.921300000000000000e+04 4.161612508235293790e+05 6.421000000000000000e+03
3.921400000000000000e+04 4.161693548235294293e+05 6.638000000000000000e+03
3.921500000000000000e+04 4.161781830588235171e+05 6.858000000000000000e+03
3.921600000000000000e+04 4.161872677647059318e+05 6.664000000000000000e+03
3.921700000000000000e+04 4.161953548235294875e+05 6.607000000000000000e+03
3.921800000000000000e+04 4.162042508235293790e+05 5.920000000000000000e+03
3.921900000000000000e+04 4.162123548235294293e+05 5.359000000000000000e+03
3.922000000000000000e+04 4.162211830588235171e+05 5.547000000000000000e+03
3.922100000000000000e+04 4.162302677647059318e+05 5.899000000000000000e+03
3.922200000000000000e+04 4.162383548235294293e+05 5.711000000000000000e+03
3.922300000000000000e+04 4.162472508235294954e+05 6.399000000000000000e+03
3.922400000000000000e+04 4.162553548235293711e+05 7.763000000000000000e+03
3.922500000000000000e+04 4.162641830588235171e+05 9.800000000000000000e+03
3.922600000000000000e+04 4.162732677647059318e+05 9.292000000000000000e+03
3.922700000000000000e+04 4.162813548235294293e+05 8.558000000000000000e+03
3.922800000000000000e+04 4.162902508235293790e+05 6.520000000000000000e+03
3.922900000000000000e+04 4.162983548235294875e+05 6.142000000000000000e+03
3.923000000000000000e+04 4.163071830588235171e+05 6.677000000000000000e+03
3.923100000000000000e+04 4.163162677647058154e+05 1.053200000000000000e+04
3.923200000000000000e+04 4.163243548235294293e+05 8.472000000000000000e+03
3.923300000000000000e+04 4.163332508235293790e+05 6.650000000000000000e+03
3.923400000000000000e+04 4.163413548235294293e+05 7.822000000000000000e+03
3.923500000000000000e+04 4.163501830588235753e+05 6.852000000000000000e+03
3.923600000000000000e+04 4.163592677647058736e+05 5.944000000000000000e+03
3.923700000000000000e+04 4.163673548235294293e+05 7.356000000000000000e+03
3.923800000000000000e+04 4.163762508235293790e+05 5.336000000000000000e+03
3.923900000000000000e+04 4.163843548235294293e+05 4.739000000000000000e+03
3.924000000000000000e+04 4.163931830588235171e+05 5.427000000000000000e+03
3.924100000000000000e+04 4.164022677647059318e+05 5.337000000000000000e+03
3.924200000000000000e+04 4.164103548235294875e+05 5.425000000000000000e+03
3.924300000000000000e+04 4.164192508235293790e+05 5.578000000000000000e+03
3.924400000000000000e+04 4.164273548235294293e+05 6.960000000000000000e+03
3.924500000000000000e+04 4.164361830588235171e+05 6.237000000000000000e+03
3.924600000000000000e+04 4.164452677647059318e+05 5.526000000000000000e+03
3.924700000000000000e+04 4.164533548235294293e+05 5.245000000000000000e+03
3.924800000000000000e+04 4.164622508235294954e+05 4.505000000000000000e+03
3.924900000000000000e+04 4.164703548235293711e+05 4.715000000000000000e+03
3.925000000000000000e+04 4.164791830588235171e+05 4.797000000000000000e+03
3.925100000000000000e+04 4.164882000000000116e+05 4.765000000000000000e+03
3.925200000000000000e+04 4.164972677647059318e+05 4.438000000000000000e+03
3.925300000000000000e+04 4.165053548235294293e+05 5.248000000000000000e+03
3.925400000000000000e+04 4.165141830588235753e+05 4.761000000000000000e+03
3.925500000000000000e+04 4.165232677647058736e+05 4.910000000000000000e+03
3.925600000000000000e+04 4.165313548235294293e+05 5.417000000000000000e+03
3.925700000000000000e+04 4.165401830588235171e+05 4.963000000000000000e+03
3.925800000000000000e+04 4.165492677647059318e+05 5.955000000000000000e+03
3.925900000000000000e+04 4.165573548235294293e+05 6.495000000000000000e+03
3.926000000000000000e+04 4.165661830588235753e+05 6.396000000000000000e+03
3.926100000000000000e+04 4.165752677647058736e+05 6.961000000000000000e+03
3.926200000000000000e+04 4.165833548235294293e+05 6.465000000000000000e+03
3.926300000000000000e+04 4.165921830588235171e+05 6.027000000000000000e+03
3.926400000000000000e+04 4.166012677647059318e+05 6.003000000000000000e+03
3.926500000000000000e+04 4.166093548235294293e+05 6.021000000000000000e+03
3.926600000000000000e+04 4.166181830588235171e+05 6.231000000000000000e+03
3.926700000000000000e+04 4.166272677647059318e+05 5.830000000000000000e+03
3.926800000000000000e+04 4.166353548235293711e+05 5.790000000000000000e+03
3.926900000000000000e+04 4.166441830588235171e+05 6.017000000000000000e+03
3.927000000000000000e+04 4.166532677647059318e+05 6.703000000000000000e+03
3.927100000000000000e+04 4.166613548235294293e+05 6.361000000000000000e+03
3.927200000000000000e+04 4.166701830588235171e+05 6.176000000000000000e+03
3.927300000000000000e+04 4.166792000000000698e+05 8.001000000000000000e+03
3.927400000000000000e+04 4.166882677647058736e+05 4.904000000000000000e+03
3.927500000000000000e+04 4.166963548235294293e+05 4.390000000000000000e+03
3.927600000000000000e+04 4.167051830588235171e+05 5.402000000000000000e+03
3.927700000000000000e+04 4.167142677647059318e+05 5.020000000000000000e+03
3.927800000000000000e+04 4.167223548235294293e+05 1.257700000000000000e+04
3.927900000000000000e+04 4.167311830588235753e+05 1.431500000000000000e+04
3.928000000000000000e+04 4.167402677647058736e+05 5.205000000000000000e+03
3.928100000000000000e+04 4.167483548235294293e+05 4.506000000000000000e+03
3.928200000000000000e+04 4.167571830588235171e+05 5.412000000000000000e+03
3.928300000000000000e+04 4.167662677647059318e+05 5.452000000000000000e+03
3.928400000000000000e+04 4.167743548235294293e+05 5.167000000000000000e+03
3.928500000000000000e+04 4.167831830588235753e+05 5.072000000000000000e+03
3.928600000000000000e+04 4.167922677647058736e+05 4.992000000000000000e+03
3.928700000000000000e+04 4.168003548235294293e+05 7.246000000000000000e+03
3.928800000000000000e+04 4.168091830588235171e+05 7.573000000000000000e+03
3.928900000000000000e+04 4.168182677647059318e+05 6.470000000000000000e+03
3.929000000000000000e+04 4.168263548235294293e+05 5.787000000000000000e+03
3.929100000000000000e+04 4.168351830588235171e+05 6.333000000000000000e+03
3.929200000000000000e+04 4.168442677647059318e+05 1.024000000000000000e+04
3.929300000000000000e+04 4.168523548235293711e+05 9.260000000000000000e+03
3.929400000000000000e+04 4.168611830588235171e+05 7.597000000000000000e+03
3.929500000000000000e+04 4.168702000000000116e+05 5.614000000000000000e+03
3.929600000000000000e+04 4.168792677647059318e+05 5.556000000000000000e+03
3.929700000000000000e+04 4.168873548235294293e+05 5.365000000000000000e+03
3.929800000000000000e+04 4.168961830588235753e+05 5.345000000000000000e+03
3.929900000000000000e+04 4.169052677647058736e+05 5.189000000000000000e+03
