Label,Window,Average,Median,Variance,Skewness
Sine,1,0.9999999994543954,0.9999999994543948,4.441784376244436e-31,-1.0
Sine,2,1.0,1.0,0.0,NaN
Sine,3,1.0,1.0,0.0,NaN
Sine,4,1.0,1.0,0.0,NaN
Sine,5,1.0,1.0,0.0,NaN
Sine,6,1.0,1.0,0.0,NaN
Sine,7,1.0,1.0,0.0,NaN
Sine,8,1.0,1.0,0.0,NaN
Sine,9,1.0,1.0,0.0,NaN
Sine,10,1.0,1.0,0.0,NaN
Sine,11,0.9999999953954134,0.9999999953954134,0.0,NaN
Sine,12,0.399260102789088,0.39926010278908775,7.711431208757702e-32,-1.0
Sine,13,3.848799057237784e-11,3.848799057237784e-11,0.0,NaN
Sine,14,0.9999999912685935,0.9999999912685918,2.7761152351527723e-30,-1.0
Sine,15,1.0,1.0,0.0,NaN
Sine,16,1.0,1.0,0.0,NaN
Sine,17,0.9999999999999999,0.9999999999999999,0.0,NaN
Sine,18,1.0,1.0,0.0,NaN
Sine,19,1.0,1.0,0.0,NaN
Sine,20,1.0,1.0,0.0,NaN
Sine,21,1.0,1.0,0.0,NaN
Sine,22,1.0,1.0,0.0,NaN
Sine,23,1.0,1.0,0.0,NaN
Sine,24,0.9999999263120567,0.9999999263120554,1.7767137504977744e-30,-1.0
Sine,25,0.0,0.0,0.0,NaN
Sine,26,0.9088991984076386,0.9088991984076383,4.935315973604929e-32,-1.0
Sine,27,1.0,1.0,0.0,NaN
Sine,28,1.0,1.0,0.0,NaN
Sine,29,1.0,1.0,0.0,NaN
Sine,30,1.0,1.0,0.0,NaN
WhiteNoise,1,0.8907534006621063,0.9593862053471133,0.05233942033752479,-2.292990189424081
WhiteNoise,2,0.9039245780851417,0.9999999993246799,0.04741166000359905,-2.5176710420403556
WhiteNoise,3,0.9122657038226576,0.9999999991641259,0.04612789986081834,-2.775598285880998
WhiteNoise,4,0.9316566382046391,0.9999999989654007,0.03072435960508094,-3.212300790283204
WhiteNoise,5,0.9174029932293534,0.9999999987194299,0.04143304373926878,-2.84129315072861
WhiteNoise,6,0.9181956240486522,0.9999999984149807,0.03800538214276014,-2.739318724786333
WhiteNoise,7,0.9163147106914477,0.99999999803815,0.0392115942227146,-2.7809461232654717
WhiteNoise,8,0.9386396465743054,0.9999999975717299,0.02732174937984836,-3.5222069161550427
WhiteNoise,9,0.9154466524421531,0.9999999969944204,0.03900973109907686,-2.7182392186454556
WhiteNoise,10,0.9253778493553028,0.9999999962798587,0.03305765017447079,-2.986968274957422
WhiteNoise,11,0.9249780719420434,0.9999999953954134,0.034459667281770454,-2.9891191322159787
WhiteNoise,12,0.929016162854471,0.9999999943006955,0.03231041199112634,-3.2383396802128637
WhiteNoise,13,0.9394603771993653,0.9999999929457138,0.026608785038964553,-3.7290839666051387
WhiteNoise,14,0.9224095991721638,0.9999999912685918,0.03481553462052869,-2.9610716793039105
WhiteNoise,15,0.9216681607085375,0.9999999891927422,0.03784489969119277,-3.056068017617913
WhiteNoise,16,0.926772471486358,0.9999999866233698,0.03348471450601761,-3.1913617094029116
WhiteNoise,17,0.9225143713913175,0.9999999834431414,0.036451056831685764,-2.991753004056425
WhiteNoise,18,0.9179064740727964,0.9999999795068295,0.03988755179746636,-3.0066426881721133
WhiteNoise,19,0.9232707511547121,0.9999999746346787,0.03494121699404074,-3.1504220864705923
WhiteNoise,20,0.9368778285596504,0.9999999686041979,0.02722463033873754,-3.6728097047034947
WhiteNoise,21,0.9148824695706239,0.9999999611399998,0.03928713432298821,-2.941397017940678
WhiteNoise,22,0.9263010577048627,0.9999999519012253,0.03292662504616462,-3.274629976010696
WhiteNoise,23,0.9303323940153329,0.9999999404659774,0.030392179464674172,-3.454797627194518
WhiteNoise,24,0.9125083035701653,0.9999999263120554,0.04118569942695012,-2.9013919706161095
WhiteNoise,25,0.920936033897576,0.9999999087931077,0.03511226956508553,-3.174542929868854
WhiteNoise,26,0.9213724321449664,0.9999998871091162,0.03459155435347223,-3.140718469096498
WhiteNoise,27,0.9186881563006623,0.999999860269862,0.03724115465576092,-3.1085719441456443
WhiteNoise,28,0.9314896237682823,0.9999998270497067,0.029299759312769787,-3.486449518494975
WhiteNoise,29,0.923147435103949,0.9999997859316223,0.03112400727396525,-3.124464510083506
WhiteNoise,30,0.9237154470777146,0.9999997350379147,0.035060064822208144,-3.1227388248842827
SineAndNoise,1,0.7188317247812084,0.9593862053471133,0.1078565160764843,-0.7666820052754248
SineAndNoise,2,0.8617415826916753,0.9580523617711633,0.06287558435664818,-1.8832936362630468
SineAndNoise,3,0.930731022665149,0.9999999991641259,0.030877070179909236,-3.0143081663365985
SineAndNoise,4,0.9783978935120737,0.9999999989654007,0.006732761577957541,-6.704327974719418
SineAndNoise,5,0.9897460110668362,0.9999999987194299,0.002206298899764286,-10.593696417453216
SineAndNoise,6,0.9921352790355423,0.9999999984149807,0.001859230195925791,-11.777652940993644
SineAndNoise,7,0.9886847066184266,0.99999999803815,0.0032378243053880033,-9.191784394048845
SineAndNoise,8,0.9865172047290968,0.9999999975717299,0.00396849002762043,-8.32736246315291
SineAndNoise,9,0.9691302547110222,0.9999999969944204,0.010977192245026577,-5.140797777947233
SineAndNoise,10,0.9194113933641065,0.9999999962798587,0.03410472041863865,-2.8364917949716215
SineAndNoise,11,0.7898546484942133,0.9438935203012188,0.0901280712834914,-1.2577478843877077
SineAndNoise,12,0.6181373098537438,0.9420508639290427,0.1301579761800521,-0.33960272126130264
SineAndNoise,13,0.598830377615814,0.3957392491684494,0.13435742191053932,-0.26235597938349614
SineAndNoise,14,0.756790295012739,0.9381820133977705,0.09824276931031431,-1.0577858201572163
SineAndNoise,15,0.9035188040852571,0.9361517789660393,0.039160272341158,-2.520204842057455
SineAndNoise,16,0.9670808068653309,0.9999999866233698,0.012296416139067068,-5.4652557537057085
SineAndNoise,17,0.986185121120415,0.9999999834431414,0.003229087463254888,-10.132062964224804
SineAndNoise,18,0.9894806745578245,0.9999999795068295,0.0016610217074965465,-10.5309328969475
SineAndNoise,19,0.9897503641593778,0.9999999746346787,0.002372955850398269,-10.302816051830913
SineAndNoise,20,0.9875762806081855,0.9999999686041979,0.003648125246439076,-9.88096828340467
SineAndNoise,21,0.9793027754727739,0.9999999611399998,0.005403335377127622,-7.012044309199098
SineAndNoise,22,0.9523941701824302,0.9999999519012253,0.01687341202465879,-4.105625518647126
SineAndNoise,23,0.8784387528906311,0.917316212383724,0.0503698205265855,-2.234588806576601
SineAndNoise,24,0.7116776967348135,0.9146007005757341,0.11388362221767301,-0.860713283013951
SineAndNoise,25,0.588420500127899,0.9117960055724417,0.1374359238822507,-0.288956087696304
SineAndNoise,26,0.6708949126691096,0.9088991984076383,0.12314698072289788,-0.6845828833091927
SineAndNoise,27,0.827698040359108,0.9059072539216227,0.07216664200659727,-1.6632684636750275
SineAndNoise,28,0.942544497605862,0.9999998270497067,0.02065200231048164,-4.085987133697362
SineAndNoise,29,0.9692785345417062,0.9999997859316223,0.01081539169011611,-5.972716592297868
SineAndNoise,30,0.9844937645148553,0.9999997350379147,0.004392548326443589,-8.554864293012297
AR1low,1,0.750569304131274,0.9593862053471133,0.10718686042934641,-1.0046821081722312
AR1low,2,0.8551122184518692,0.9580523617711633,0.06846510236771744,-1.8106593750797473
AR1low,3,0.8642210875413783,0.9566747119293789,0.06650122703690288,-1.9163619540298291
AR1low,4,0.9023663657287131,0.9552518171306266,0.047510636597445546,-2.62380103078036
AR1low,5,0.9039397527827743,0.9999999987194299,0.04713631225506592,-2.601045893873358
AR1low,6,0.8784662642804112,0.9522643000974883,0.05608836770119047,-2.0346909847974506
AR1low,7,0.9061644373736464,0.99999999803815,0.04229749051184161,-2.527366425187675
AR1low,8,0.8967070419925717,0.9999999975717299,0.049559274919759484,-2.4248729469053667
AR1low,9,0.9138690205987176,0.9999999969944204,0.038366849132164975,-2.7087603507025113
AR1low,10,0.8970967724584532,0.9999999962798587,0.05146053016645521,-2.526703955473925
AR1low,11,0.9028400175768895,0.9999999953954134,0.047171506217249096,-2.6002287483516744
AR1low,12,0.8901291097236443,0.9420508639290427,0.05159895807426772,-2.3778615531578344
AR1low,13,0.8997818432905939,0.9999999929457138,0.05044784023646481,-2.5801149632352067
AR1low,14,0.9038692553358398,0.9999999912685918,0.044670353822410844,-2.575375249147108
AR1low,15,0.8959804637246674,0.9999999891927422,0.04941616189714859,-2.4897896153039527
AR1low,16,0.9056751531844773,0.9999999866233698,0.043848341381374265,-2.706562165909656
AR1low,17,0.9021444905985786,0.9999999834431414,0.04579359536560132,-2.650999428916993
AR1low,18,0.900218834587093,0.9999999795068295,0.046871078140248025,-2.5553494025761108
AR1low,19,0.8918800483794246,0.9999999746346787,0.052026813228081066,-2.5010442316130743
AR1low,20,0.8938922963451789,0.9999999686041979,0.05000221366921481,-2.4641361712587027
AR1low,21,0.8933709213272308,0.9999999611399998,0.05057067647546852,-2.4876169375602037
AR1low,22,0.8955587459228803,0.9999999519012253,0.04915769651285361,-2.5039667630925586
AR1low,23,0.8912134840365515,0.9999999404659774,0.053018198736384345,-2.4057945920327235
AR1low,24,0.891539205768748,0.9999999263120554,0.05162292002664044,-2.4880702079439945
AR1low,25,0.8919202378680301,0.9999999087931077,0.05131695972909206,-2.4877048298121864
AR1low,26,0.9005605789529358,0.9999998871091162,0.04530548441961584,-2.6191412893403205
AR1low,27,0.9043789072237001,0.999999860269862,0.04417253626542368,-2.78229743757932
AR1low,28,0.9053872749505578,0.9999998270497067,0.04131580050052174,-2.7848293980971963
AR1low,29,0.8888305868860101,0.9999997859316223,0.05200352157148807,-2.4413875851502276
AR1low,30,0.8873692130716495,0.9999997350379147,0.051758781115310674,-2.4310177625547498
AR1hi,1,0.16129371555576955,0.020146290213818863,0.06621917197203486,1.9326419357270812
AR1hi,2,0.3552741889299731,0.10089203037049288,0.1364148677410149,0.709082956863649
AR1hi,3,0.4347668349863362,0.4300388092619537,0.14250241378787304,0.3822858207700604
AR1hi,4,0.5271773281422217,0.42669834539173257,0.15073085698990993,-0.0011954855834023503
AR1hi,5,0.5689273763293522,0.4233383035238344,0.1540356819277843,-0.17722048503027601
AR1hi,6,0.5847016623132424,0.41995856891431704,0.14893807190150138,-0.22153090981773463
AR1hi,7,0.5930750095857834,0.41655902614674,0.1508143418047773,-0.26823516729178676
AR1hi,8,0.6345280964897161,0.949077327858552,0.13895284269791072,-0.4208630077724669
AR1hi,9,0.6468824722257279,0.9474049187747272,0.14096529330822682,-0.5031992440415026
AR1hi,10,0.6350713564359588,0.9456775842122102,0.13976608564981582,-0.4427789137439226
AR1hi,11,0.6504631500564116,0.9438935203012188,0.13926441697040534,-0.5156902248677624
AR1hi,12,0.6629899253543075,0.9420508639290427,0.13472184964080725,-0.5637413870871147
AR1hi,13,0.6700278991713812,0.9401476907943794,0.13574345943378158,-0.6133913392373449
AR1hi,14,0.6970144098918315,0.9381820133977705,0.12838260675666147,-0.7576085311014095
AR1hi,15,0.6950510994967615,0.9361517789660393,0.1330359030104528,-0.7621569593246029
AR1hi,16,0.687896227919492,0.9340548673085629,0.12828639372043432,-0.6667623196114999
AR1hi,17,0.7098374647157896,0.9318890886031398,0.12402839567924347,-0.8228172941110675
AR1hi,18,0.697667743778158,0.9296521811091402,0.12825984023362685,-0.74768930126654
AR1hi,19,0.7157585218015066,0.9273418088055514,0.12427647461774209,-0.8744520561670525
AR1hi,20,0.6967282064233339,0.9249555589514521,0.13189318615930598,-0.7772296103953312
AR1hi,21,0.6993083396261871,0.922490939566367,0.12838927562437058,-0.773394255569158
AR1hi,22,0.6875788509098515,0.9199453768278707,0.13219393791822964,-0.7109166364047929
AR1hi,23,0.7143678294597716,0.917316212383724,0.12655143408533032,-0.875974225745755
AR1hi,24,0.729275841375511,0.9146007005757341,0.11897692923324117,-0.9812011045403293
AR1hi,25,0.726685479162752,0.9117960055724417,0.12026341698892347,-0.9376643142947987
AR1hi,26,0.7265467381151981,0.9088991984076383,0.12433886424378007,-0.9711003716410136
AR1hi,27,0.7369312709460862,0.9059072539216227,0.12124898567765138,-1.0340186322515614
AR1hi,28,0.7326061615983963,0.9028170476020017,0.12152153148004255,-0.9883779786665318
AR1hi,29,0.7096970860895828,0.8996253523207355,0.12819044123746043,-0.8658182833194005
AR1hi,30,0.7340036357546127,0.8963288349640219,0.12108569231383849,-1.0253249489905356
