Label,Window,Average,Median,Variance,Skewness
Sine,1,1.0,1.0,0.0,NaN
Sine,2,1.0,1.0,0.0,NaN
Sine,3,1.0,1.0,0.0,NaN
Sine,4,1.0,1.0,0.0,NaN
Sine,5,1.0,1.0,0.0,NaN
Sine,6,1.0,1.0,0.0,NaN
Sine,7,1.0,1.0,0.0,NaN
Sine,8,1.0,1.0,0.0,NaN
Sine,9,1.0,1.0,0.0,NaN
Sine,10,1.0,1.0,0.0,NaN
Sine,11,1.0,1.0,0.0,NaN
Sine,12,0.6881155145621284,0.6881155145621287,1.113045800635834e-31,1.0
Sine,13,1.300406449189495e-10,1.300406449189495e-10,0.0,NaN
Sine,14,1.0,1.0,0.0,NaN
Sine,15,1.0,1.0,0.0,NaN
Sine,16,1.0,1.0,0.0,NaN
Sine,17,1.0,1.0,0.0,NaN
Sine,18,1.0,1.0,0.0,NaN
Sine,19,1.0,1.0,0.0,NaN
Sine,20,1.0,1.0,0.0,NaN
Sine,21,1.0,1.0,0.0,NaN
Sine,22,1.0,1.0,0.0,NaN
Sine,23,1.0,1.0,0.0,NaN
Sine,24,1.0,1.0,0.0,NaN
Sine,25,0.0,0.0,0.0,NaN
Sine,26,0.9972218932012111,0.9972218932012118,4.452183202543336e-31,1.0
Sine,27,1.0,1.0,0.0,NaN
Sine,28,1.0,1.0,0.0,NaN
Sine,29,1.0,1.0,0.0,NaN
Sine,30,1.0,1.0,0.0,NaN
WhiteNoise,1,0.8512878903336649,0.9988008688068186,0.06143906320669866,-1.8143343315984704
WhiteNoise,2,0.8911237819278779,0.9987598849161579,0.043380611644635816,-2.2498590499613846
WhiteNoise,3,0.918535372193245,0.9987175002786034,0.04004468116544088,-2.786305403534657
WhiteNoise,4,0.925859522837009,0.9986736670194462,0.037240320897750034,-3.1048443402221015
WhiteNoise,5,0.902091667463874,0.9986283356277151,0.046525986611199846,-2.3878505692066057
WhiteNoise,6,0.9095114927412772,0.9985814549002545,0.044016001700617924,-2.5661793670310487
WhiteNoise,7,0.9164546383876494,0.9985329718838872,0.03486678975414324,-2.6316919784110735
WhiteNoise,8,0.8994071100419524,0.9984828318156035,0.04983303484693384,-2.4402735382154006
WhiteNoise,9,0.9258155662527944,0.9984309780607041,0.02957480727788665,-2.772965618867275
WhiteNoise,10,0.9004106302045723,0.9983773520488296,0.04761919988103716,-2.5226034157906083
WhiteNoise,11,0.9264060593273871,0.9983218932078037,0.033632750886273995,-2.8805889599394714
WhiteNoise,12,0.9094812978756198,0.9982645388952149,0.03626480123613666,-2.427541620594689
WhiteNoise,13,0.8993960890859334,0.9982052243276603,0.044375856238819344,-2.377755206587065
WhiteNoise,14,0.909926350047992,0.9981438825075708,0.0396714708429525,-2.5987521518195447
WhiteNoise,15,0.9142856507169944,0.9980804441475347,0.04233135976811518,-2.7461968597551016
WhiteNoise,16,0.9313721100832676,0.9980148375920367,0.02350608630123496,-2.524913600506424
WhiteNoise,17,0.9074420514754452,0.9979469887365197,0.03732303804844476,-2.370341724610513
WhiteNoise,18,0.9278936447594771,0.9978768209436824,0.02769726581701235,-2.718326647431795
WhiteNoise,19,0.9139696076051101,0.9978042549569142,0.03861618015222175,-2.611628548158502
WhiteNoise,20,0.9309655851007509,0.9977292088107739,0.030900540756705282,-3.035675744917649
WhiteNoise,21,0.9144651474054956,0.9976515977384056,0.04105839339315092,-2.691591447506277
WhiteNoise,22,0.91117138882305,0.9975713340757938,0.036216560269953686,-2.4242768911262664
WhiteNoise,23,0.8991539532187145,0.9974883271627425,0.04730447131614261,-2.3648708064005963
WhiteNoise,24,0.8883336734580549,0.9974024832404732,0.0542475890765359,-2.2519082192845126
WhiteNoise,25,0.9027138719829767,0.9973137053457211,0.04027859403815409,-2.4014574345357946
WhiteNoise,26,0.9166023978347025,0.9972218932012118,0.04148519913387319,-2.8148571766035357
WhiteNoise,27,0.9237144437600641,0.9971269431023959,0.03413443128663134,-2.797013128245094
WhiteNoise,28,0.9166412672591252,0.997028747800311,0.04197734993403216,-2.7001206870379892
WhiteNoise,29,0.9244157142998691,0.996927196380441,0.03621967952420129,-2.8998648562552503
WhiteNoise,30,0.9265632935534277,0.9968221741374351,0.036519734877126064,-2.931098885992158
SineAndNoise,1,0.6999963707003225,0.7086469260842231,0.08630913820187248,-0.8223362543286383
SineAndNoise,2,0.8570690493035071,0.9987598849161579,0.05002808394340185,-1.790303486432867
SineAndNoise,3,0.9445973324905206,0.9987175002786034,0.018389682026304196,-2.915973748348674
SineAndNoise,4,0.9836868658502724,1.0,0.008385357547010214,-6.875456237363073
SineAndNoise,5,0.9946062986411869,1.0,0.001462963165019608,-7.5477893380279495
SineAndNoise,6,0.9947266647910392,1.0,0.0014826381368952932,-7.5485486627791625
SineAndNoise,7,0.9956455399242168,1.0,0.001204631359999217,-8.482077680483954
SineAndNoise,8,0.9948029480899379,1.0,0.002711223938026605,-12.997806039178922
SineAndNoise,9,0.9628360000182935,0.9992154890303521,0.013762315614702425,-3.832296305570652
SineAndNoise,10,0.9257626638888816,0.9983773520488296,0.03153170777945202,-2.763753865377541
SineAndNoise,11,0.78730582553254,0.9983218932078037,0.07743797988786885,-1.310736450896057
SineAndNoise,12,0.5070818840310605,0.6881155145621287,0.11120635826010147,-0.11836818879804381
SineAndNoise,13,0.5205771634646552,0.6861787614154382,0.12353093685897473,-0.06554780961057097
SineAndNoise,14,0.757846265469306,0.6842299813391427,0.07953804153878112,-1.0900385455684258
SineAndNoise,15,0.8959163858456716,0.9980804441475347,0.04377531869713504,-2.2958689547929025
SineAndNoise,16,0.973563446251962,0.9980148375920367,0.007504681643813985,-3.095613491511163
SineAndNoise,17,0.9896581414520226,1.0,0.0030090145977917705,-5.50766482672743
SineAndNoise,18,0.9973891424083687,1.0,0.0006949497048429889,-12.104591780657014
SineAndNoise,19,0.9963112006088686,1.0,0.0010516314391197294,-9.838473373097566
SineAndNoise,20,0.9924018613563995,1.0,0.0035600022277199788,-10.135080598207363
SineAndNoise,21,0.9860661566601394,1.0,0.004171020768004719,-4.692704002122107
SineAndNoise,22,0.9480042215247814,0.9975713340757938,0.0247128783242927,-3.6614938681484053
SineAndNoise,23,0.8658289909393869,0.9974883271627425,0.05372111423726587,-1.818390774182455
SineAndNoise,24,0.6410290199120687,0.6640640368060263,0.11889532460139755,-0.5419376585183883
SineAndNoise,25,0.48603857974189413,0.6619779278003507,0.11417897043810585,0.02528487142293056
SineAndNoise,26,0.6221543431436876,0.6598788643888943,0.11495356779525023,-0.44396964966914865
SineAndNoise,27,0.8400262265070143,0.9971269431023959,0.05889282818417063,-1.5769787603215095
SineAndNoise,28,0.9386998373855467,0.997028747800311,0.020746961569877168,-2.5248376864900823
SineAndNoise,29,0.9760568466041278,1.0,0.009906065485522877,-5.076558494650852
SineAndNoise,30,0.9933841416194389,0.9999999999999999,0.0019913567670679973,-7.539780463818222
AR1low,1,0.7069708049748382,0.7086469260842231,0.1093250953988073,-0.8419133544421359
AR1low,2,0.825576962933853,0.9987598849161579,0.0798715923021858,-1.7130340875903147
AR1low,3,0.8585789246301548,0.9987175002786034,0.07075075280343392,-1.9802642700002793
AR1low,4,0.863003950946222,0.9986736670194462,0.06382036409113943,-2.0240790311484007
AR1low,5,0.874478584215189,0.9986283356277151,0.05122797880927608,-2.0508811070150195
AR1low,6,0.8611260107138071,0.9985814549002545,0.054268691636291264,-1.8225839359971832
AR1low,7,0.859581681467348,0.9985329718838872,0.0606704123271562,-1.9557896576840883
AR1low,8,0.8820621425004197,0.9984828318156035,0.050463187130871494,-2.2237890330919603
AR1low,9,0.8777837711972734,0.9984309780607041,0.05324582714383057,-2.098223578955698
AR1low,10,0.8876996714572384,0.9983773520488296,0.046330829607634016,-2.179304767309248
AR1low,11,0.8713122378726244,0.9983218932078037,0.061143465768909507,-2.0205372036095905
AR1low,12,0.8825435711485781,0.9982645388952149,0.046757917912715934,-2.1290420937332057
AR1low,13,0.8938844840229931,0.9982052243276603,0.049259830861515454,-2.36562695308626
AR1low,14,0.8955788456684172,0.9981438825075708,0.04475764505520132,-2.3584963134743995
AR1low,15,0.8918995236047493,0.9980804441475347,0.04646618880342531,-2.2315436219732914
AR1low,16,0.8889857247332731,0.9980148375920367,0.04873398181809385,-2.260174784835101
AR1low,17,0.8827056499464951,0.9979469887365197,0.052503132985765706,-2.0818166494140797
AR1low,18,0.8696075860391598,0.9978768209436824,0.06424337137403338,-2.0934269998484836
AR1low,19,0.8833940728987579,0.9978042549569142,0.055734981078471434,-2.2825838312669102
AR1low,20,0.8720223123764329,0.9977292088107739,0.05775677656184616,-2.0581898927390383
AR1low,21,0.8630138342318378,0.9976515977384056,0.058977709714519634,-1.902605193663069
AR1low,22,0.8961385222200624,0.9975713340757938,0.0419484748673605,-2.234312188191563
AR1low,23,0.8783316062758011,0.9974883271627425,0.05179900429043428,-2.009544831074511
AR1low,24,0.8777696749357269,0.9974024832404732,0.057788557986698845,-2.048716107304935
AR1low,25,0.8924814383263282,0.9973137053457211,0.04943614909888921,-2.33755756483504
AR1low,26,0.8762512394215505,0.9972218932012118,0.05568128607506667,-2.047429690213994
AR1low,27,0.8723962217989493,0.9971269431023959,0.06418922036997488,-2.052902031651642
AR1low,28,0.865385933333762,0.997028747800311,0.06412440581131743,-1.9675386355278206
AR1low,29,0.8983653809268737,0.996927196380441,0.045919663821070496,-2.333529115347432
AR1low,30,0.8817524574905075,0.9968221741374351,0.05520556816352814,-2.1009808316301632
AR1hi,1,0.05908192948551034,0.008920756524699702,0.020792695513113184,4.102112029935046
AR1hi,2,0.1814191665088849,0.044720427199363644,0.07202275422249875,1.651241750728335
AR1hi,3,0.31026705722507114,0.20888542204687954,0.11382698525888578,0.7718267259522619
AR1hi,4,0.3663476940832662,0.2079402210987501,0.1302494580502343,0.5509279414765056
AR1hi,5,0.38391797890733437,0.20699389085170838,0.12471606782556698,0.48215265701755217
AR1hi,6,0.4100312506714198,0.20604642995650058,0.13048896722372427,0.37526465931676284
AR1hi,7,0.46129087062825375,0.2050978370622607,0.1407669657783368,0.22842823831015324
AR1hi,8,0.4521758035405391,0.20414811081650897,0.1409069056532779,0.19674146932067085
AR1hi,9,0.44642397738542483,0.20319724986514953,0.13430330071905136,0.27686955719555706
AR1hi,10,0.5081502604942901,0.6919532365062259,0.14445122497063656,-0.009771295958882781
AR1hi,11,0.5114152319622731,0.6900403150036163,0.14151312233207264,-0.03959830504010751
AR1hi,12,0.49849120113482287,0.6881155145621287,0.1493900592144399,0.03339016671231101
AR1hi,13,0.4817155178367071,0.6861787614154382,0.1331789732762215,0.0825868766497216
AR1hi,14,0.5142755984287158,0.6842299813391427,0.13471841006846325,-0.022539258982439796
AR1hi,15,0.5310603976180405,0.6822690996479186,0.14585993787812293,-0.02757777991574456
AR1hi,16,0.513486730872911,0.6802960411926583,0.13320789646615963,0.012119352258846458
AR1hi,17,0.5518216046717855,0.6783107303575898,0.1419049655578055,-0.21996077572232428
AR1hi,18,0.504388681878024,0.6763130910573797,0.14380055620799587,0.028119353770167214
AR1hi,19,0.5344236538327164,0.6743030467342161,0.1396003754342876,-0.13498200435499977
AR1hi,20,0.5473377283937367,0.6722805203548761,0.14548625570988036,-0.20269136736145535
AR1hi,21,0.5708982801109945,0.6702454344077717,0.1402874440600797,-0.24167436086551788
AR1hi,22,0.5570512206414772,0.668197710899981,0.13558773079958739,-0.2305432633623408
AR1hi,23,0.5356715473159998,0.6661372713542583,0.1437268520412405,-0.11547544963733011
AR1hi,24,0.5217257226594705,0.6640640368060263,0.13717132284716535,-0.09656878512608676
AR1hi,25,0.5287478355625,0.6619779278003507,0.1378757153463785,-0.10398965397821411
AR1hi,26,0.5507445591545111,0.6598788643888943,0.1427281245773452,-0.14363856454519353
AR1hi,27,0.512731208084188,0.6577667661268537,0.13757572793607442,-0.014869737434530976
AR1hi,28,0.5461095131283968,0.6556415520698757,0.13912480334486463,-0.19532911563587427
AR1hi,29,0.5531558225388528,0.6535031407709558,0.13354525245414697,-0.1757888971919623
AR1hi,30,0.5758233310786023,0.6513514502773166,0.13557846302234927,-0.28918014100655487
