# Index 	 Time 	 Data
3.412200000000000000e+04 3.699737999999999884e+05 6.524000000000000000e+03
3.412300000000000000e+04 3.699828169411764829e+05 6.574000000000000000e+03
3.412400000000000000e+04 3.699916451764705707e+05 5.756000000000000000e+03
3.412500000000000000e+04 3.699997322352940682e+05 6.315000000000000000e+03
3.412600000000000000e+04 3.700088169411764247e+05 6.632000000000000000e+03
3.412700000000000000e+04 3.700176451764705707e+05 5.664000000000000000e+03
3.412800000000000000e+04 3.700257322352941264e+05 4.872000000000000000e+03
3.412900000000000000e+04 3.700347999999999884e+05 4.150000000000000000e+03
3.413000000000000000e+04 3.700438169411764247e+05 4.519000000000000000e+03
3.413100000000000000e+04 3.700526451764705125e+05 4.448000000000000000e+03
3.413200000000000000e+04 3.700607322352941264e+05 4.647000000000000000e+03
3.413300000000000000e+04 3.700697999999999884e+05 5.120000000000000000e+03
3.413400000000000000e+04 3.700788169411764247e+05 5.569000000000000000e+03
3.413500000000000000e+04 3.700876451764705707e+05 5.256000000000000000e+03
3.413600000000000000e+04 3.700957322352941264e+05 5.160000000000000000e+03
3.413700000000000000e+04 3.701048169411764247e+05 5.122000000000000000e+03
3.413800000000000000e+04 3.701136451764705707e+05 4.871000000000000000e+03
3.413900000000000000e+04 3.701217322352941264e+05 4.980000000000000000e+03
3.414000000000000000e+04 3.701307999999999884e+05 6.263000000000000000e+03
3.414100000000000000e+04 3.701398169411764247e+05 4.914000000000000000e+03
3.414200000000000000e+04 3.701486451764705707e+05 4.702000000000000000e+03
3.414300000000000000e+04 3.701567322352941264e+05 4.213000000000000000e+03
3.414400000000000000e+04 3.701657999999999302e+05 4.343000000000000000e+03
3.414500000000000000e+04 3.701748169411764247e+05 3.880000000000000000e+03
3.414600000000000000e+04 3.701836451764705707e+05 4.217000000000000000e+03
3.414700000000000000e+04 3.701917322352941264e+05 3.991000000000000000e+03
3.414800000000000000e+04 3.702008169411764829e+05 3.799000000000000000e+03
3.414900000000000000e+04 3.702096451764705707e+05 3.914000000000000000e+03
3.415000000000000000e+04 3.702177322352940682e+05 3.944000000000000000e+03
3.415100000000000000e+04 3.702267999999999884e+05 3.864000000000000000e+03
3.415200000000000000e+04 3.702358169411764247e+05 4.061000000000000000e+03
3.415300000000000000e+04 3.702446451764705707e+05 4.246000000000000000e+03
3.415400000000000000e+04 3.702527322352941264e+05 4.398000000000000000e+03
3.415500000000000000e+04 3.702617999999999884e+05 4.983000000000000000e+03
3.415600000000000000e+04 3.702708169411764247e+05 4.794000000000000000e+03
3.415700000000000000e+04 3.702796451764705707e+05 4.884000000000000000e+03
3.415800000000000000e+04 3.702877322352941264e+05 5.397000000000000000e+03
3.415900000000000000e+04 3.702967999999999884e+05 5.980000000000000000e+03
3.416000000000000000e+04 3.703058169411764829e+05 6.224000000000000000e+03
3.416100000000000000e+04 3.703146451764705707e+05 7.324000000000000000e+03
3.416200000000000000e+04 3.703227322352940682e+05 9.579000000000000000e+03
3.416300000000000000e+04 3.703318169411764247e+05 6.956000000000000000e+03
