"File","Label","Intercept","Coeff","PValue","AdjustedRSquare"
"Nsamples1000SeriesSize101.csv","Sine",0.950644176279866,-0.00260465822522641,0.656486293373081,-0.0282919583132846
"Nsamples1000SeriesSize101.csv","WhiteNoise",0.917718037131352,0.000307706990636465,0.150895603890186,0.0391262716753012
"Nsamples1000SeriesSize101.csv","SineAndNoise",0.90183619439369,-0.00132803977721282,0.647817671730112,-0.027886681712779
"Nsamples1000SeriesSize101.csv","AR1low",0.869401984483549,0.00133381188948174,0.0296589915190063,0.127853080532349
"Nsamples1000SeriesSize101.csv","AR1hi",0.464227776943663,0.0116486560680342,3.42278548387461e-07,0.59694979874179
"Nsamples1000SeriesSize202.csv","Sine",0.963793369385044,-0.00264185736270517,0.634663246700958,-0.0272468211871186
"Nsamples1000SeriesSize202.csv","WhiteNoise",0.904119910414185,0.000700064058919673,0.00477514855671256,0.224530387824999
"Nsamples1000SeriesSize202.csv","SineAndNoise",0.895561824475279,-0.00184679676329606,0.603920417347804,-0.0256297106506993
"Nsamples1000SeriesSize202.csv","AR1low",0.838224109466841,0.0020748658828258,0.0066767448877576,0.207305684232858
"Nsamples1000SeriesSize202.csv","AR1hi",0.319490753602087,0.0106232163870408,2.7208190874669e-07,0.603374800785737
"Nsamples1000SeriesSize51.csv","Sine",0.953314138296238,-0.00411812122476938,0.519781097638383,-0.0202295915278532
"Nsamples1000SeriesSize51.csv","WhiteNoise",0.919356555873102,0.000661405520677259,0.0013851946545844,0.285713755023491
"Nsamples1000SeriesSize51.csv","SineAndNoise",0.900490756907713,-0.00022880321521769,0.915963752588632,-0.0352950954178126
"Nsamples1000SeriesSize51.csv","AR1low",0.887014439360521,0.00154203532949769,0.001548506671646,0.280365105313666
"Nsamples1000SeriesSize51.csv","AR1hi",0.662943331436148,0.00910552219387084,1.35442905413518e-06,0.556285216906239
"Nsamples300SeriesSize101.csv","Sine",0.950644176279865,-0.00260465822522641,0.656486293373082,-0.0282919583132846
"Nsamples300SeriesSize101.csv","WhiteNoise",0.918276345114156,0.000216581556587102,0.465222030920298,-0.0158262292713236
"Nsamples300SeriesSize101.csv","SineAndNoise",0.903703322032237,-0.00154050186281625,0.598012104467514,-0.0252986006971891
"Nsamples300SeriesSize101.csv","AR1low",0.87153119423924,0.00125704296831367,0.0411552090953425,0.109944230673517
"Nsamples300SeriesSize101.csv","AR1hi",0.487495994516837,0.0104597655893505,5.60519167229129e-07,0.582799945109817
"Nsamples300SeriesSize202.csv","Sine",0.963793369385043,-0.00264185736270517,0.634663246700957,-0.0272468211871186
"Nsamples300SeriesSize202.csv","WhiteNoise",0.903634386341613,0.000823207785741578,0.0856813811108109,0.0697302052646952
"Nsamples300SeriesSize202.csv","SineAndNoise",0.886961635578137,-0.00141675265924745,0.688783281819869,-0.0296916622131602
"Nsamples300SeriesSize202.csv","AR1low",0.839690207265694,0.00185318167872431,0.0305267097185093,0.126280759500875
"Nsamples300SeriesSize202.csv","AR1hi",0.281930359026365,0.0116831399104223,1.06865794149521e-08,0.684040562036506
"Nsamples300SeriesSize51.csv","Sine",0.953314138296238,-0.00411812122476938,0.519781097638384,-0.0202295915278532
"Nsamples300SeriesSize51.csv","WhiteNoise",0.922440684399106,0.000390772444807036,0.153408121335826,0.038247700264631
"Nsamples300SeriesSize51.csv","SineAndNoise",0.9083302900653,-0.000681483132061844,0.74790008745712,-0.0318315738260586
"Nsamples300SeriesSize51.csv","AR1low",0.880241413431112,0.00192524012138719,0.000386625892609594,0.344622523603218
"Nsamples300SeriesSize51.csv","AR1hi",0.65596004359155,0.00938592912876539,1.04871752542647e-06,0.564135662627898
