# Index 	 Time 	 Data
2.419100000000000000e+04 2.757327774117646622e+05 6.145000000000000000e+03
2.419200000000000000e+04 2.757413491764706559e+05 4.997000000000000000e+03
2.419300000000000000e+04 2.757504762352941907e+05 4.753000000000000000e+03
2.419400000000000000e+04 2.757587774117647205e+05 5.250000000000000000e+03
2.419500000000000000e+04 2.757674254117647070e+05 4.829000000000000000e+03
2.419600000000000000e+04 2.757757774117646622e+05 4.533000000000000000e+03
2.419700000000000000e+04 2.757843491764705977e+05 4.845000000000000000e+03
2.419800000000000000e+04 2.757934762352941325e+05 4.779000000000000000e+03
2.419900000000000000e+04 2.758017774117647205e+05 6.433000000000000000e+03
2.420000000000000000e+04 2.758104254117647652e+05 7.613000000000000000e+03
2.420100000000000000e+04 2.758187774117647205e+05 1.194700000000000000e+04
2.420200000000000000e+04 2.758274254117647070e+05 9.800000000000000000e+03
2.420300000000000000e+04 2.758357774117646622e+05 1.882000000000000000e+04
2.420400000000000000e+04 2.758443491764705977e+05 2.448600000000000000e+04
2.420500000000000000e+04 2.758534762352941325e+05 1.758400000000000000e+04
2.420600000000000000e+04 2.758617774117647205e+05 1.630100000000000000e+04
2.420700000000000000e+04 2.758704254117647652e+05 1.825700000000000000e+04
2.420800000000000000e+04 2.758787774117647205e+05 2.028900000000000000e+04
2.420900000000000000e+04 2.758873491764705977e+05 2.298100000000000000e+04
2.421000000000000000e+04 2.758964762352940743e+05 1.050500000000000000e+04
2.421100000000000000e+04 2.759047774117647205e+05 2.386700000000000000e+04
2.421200000000000000e+04 2.759134254117647070e+05 1.813200000000000000e+04
2.421300000000000000e+04 2.759217774117647205e+05 9.293000000000000000e+03
2.421400000000000000e+04 2.759303491764705977e+05 1.045900000000000000e+04
2.421500000000000000e+04 2.759394762352940743e+05 1.173800000000000000e+04
2.421600000000000000e+04 2.759477774117646622e+05 1.063200000000000000e+04
2.421700000000000000e+04 2.759564254117647070e+05 1.061700000000000000e+04
2.421800000000000000e+04 2.759647774117647205e+05 8.198000000000000000e+03
2.421900000000000000e+04 2.759733491764705977e+05 6.877000000000000000e+03
2.422000000000000000e+04 2.759824762352941325e+05 1.107800000000000000e+04
2.422100000000000000e+04 2.759907774117646622e+05 1.004700000000000000e+04
2.422200000000000000e+04 2.759994254117647070e+05 8.989000000000000000e+03
2.422300000000000000e+04 2.760077774117647205e+05 6.960000000000000000e+03
2.422400000000000000e+04 2.760163491764706559e+05 3.957000000000000000e+03
2.422500000000000000e+04 2.760254762352941325e+05 3.479000000000000000e+03
2.422600000000000000e+04 2.760337774117647205e+05 3.623000000000000000e+03
