# Index 	 Time 	 Data
2.859600000000000000e+04 3.171784254117647070e+05 3.350000000000000000e+03
2.859700000000000000e+04 3.171868451764706406e+05 3.515000000000000000e+03
2.859800000000000000e+04 3.171947999999999884e+05 3.701000000000000000e+03
2.859900000000000000e+04 3.172027322352941264e+05 3.055000000000000000e+03
2.860000000000000000e+04 3.172114254117647070e+05 2.546000000000000000e+03
2.860100000000000000e+04 3.172198451764706406e+05 2.339000000000000000e+03
2.860200000000000000e+04 3.172278000000000466e+05 3.094000000000000000e+03
2.860300000000000000e+04 3.172357322352941264e+05 3.483000000000000000e+03
2.860400000000000000e+04 3.172444254117647070e+05 4.598000000000000000e+03
2.860500000000000000e+04 3.172528451764705824e+05 5.806000000000000000e+03
2.860600000000000000e+04 3.172607322352941264e+05 6.469000000000000000e+03
2.860700000000000000e+04 3.172694254117647070e+05 6.403000000000000000e+03
2.860800000000000000e+04 3.172778451764705824e+05 3.785000000000000000e+03
2.860900000000000000e+04 3.172857999999999884e+05 3.270000000000000000e+03
2.861000000000000000e+04 3.172937322352940682e+05 2.905000000000000000e+03
2.861100000000000000e+04 3.173024254117647070e+05 2.472000000000000000e+03
2.861200000000000000e+04 3.173108451764705824e+05 2.511000000000000000e+03
2.861300000000000000e+04 3.173187999999999884e+05 3.163000000000000000e+03
2.861400000000000000e+04 3.173267322352941846e+05 3.396000000000000000e+03
2.861500000000000000e+04 3.173354254117647070e+05 2.832000000000000000e+03
2.861600000000000000e+04 3.173438451764706406e+05 2.818000000000000000e+03
2.861700000000000000e+04 3.173517322352940682e+05 2.694000000000000000e+03
2.861800000000000000e+04 3.173604254117647070e+05 2.836000000000000000e+03
2.861900000000000000e+04 3.173688451764705824e+05 2.736000000000000000e+03
2.862000000000000000e+04 3.173768000000000466e+05 2.726000000000000000e+03
2.862100000000000000e+04 3.173847322352941264e+05 2.772000000000000000e+03
2.862200000000000000e+04 3.173934254117647652e+05 3.031000000000000000e+03
2.862300000000000000e+04 3.174018451764705824e+05 2.817000000000000000e+03
2.862400000000000000e+04 3.174097999999999884e+05 2.779000000000000000e+03
2.862500000000000000e+04 3.174177322352941264e+05 3.101000000000000000e+03
2.862600000000000000e+04 3.174264254117647070e+05 3.165000000000000000e+03
2.862700000000000000e+04 3.174348451764705824e+05 3.161000000000000000e+03
2.862800000000000000e+04 3.174427999999999884e+05 3.039000000000000000e+03
2.862900000000000000e+04 3.174507322352940682e+05 3.052000000000000000e+03
2.863000000000000000e+04 3.174594254117647070e+05 3.237000000000000000e+03
2.863100000000000000e+04 3.174678451764705824e+05 2.973000000000000000e+03
2.863200000000000000e+04 3.174757322352941846e+05 3.213000000000000000e+03
2.863300000000000000e+04 3.174844254117647070e+05 3.126000000000000000e+03
