# Index 	 Time 	 Data
3.215800000000000000e+04 3.526544000000000233e+05 4.137000000000000000e+03
3.215900000000000000e+04 3.526634000000000233e+05 4.331000000000000000e+03
3.216000000000000000e+04 3.526724762352941325e+05 4.304000000000000000e+03
3.216100000000000000e+04 3.526807774117647205e+05 4.168000000000000000e+03
3.216200000000000000e+04 3.526894254117647070e+05 4.687000000000000000e+03
3.216300000000000000e+04 3.526977774117646622e+05 4.552000000000000000e+03
3.216400000000000000e+04 3.527063491764706559e+05 4.742000000000000000e+03
3.216500000000000000e+04 3.527154762352941907e+05 4.930000000000000000e+03
3.216600000000000000e+04 3.527237774117647205e+05 4.923000000000000000e+03
3.216700000000000000e+04 3.527324254117647070e+05 4.626000000000000000e+03
3.216800000000000000e+04 3.527407774117646622e+05 4.902000000000000000e+03
3.216900000000000000e+04 3.527493491764705977e+05 4.938000000000000000e+03
3.217000000000000000e+04 3.527584762352940743e+05 4.657000000000000000e+03
3.217100000000000000e+04 3.527667774117647205e+05 5.251000000000000000e+03
3.217200000000000000e+04 3.527753491764706559e+05 5.013000000000000000e+03
3.217300000000000000e+04 3.527844762352941325e+05 5.157000000000000000e+03
3.217400000000000000e+04 3.527927774117647205e+05 5.239000000000000000e+03
3.217500000000000000e+04 3.528014254117647070e+05 5.260000000000000000e+03
3.217600000000000000e+04 3.528097774117646622e+05 4.924000000000000000e+03
3.217700000000000000e+04 3.528183491764706559e+05 4.382000000000000000e+03
3.217800000000000000e+04 3.528274762352941907e+05 4.557000000000000000e+03
3.217900000000000000e+04 3.528357774117647205e+05 4.265000000000000000e+03
3.218000000000000000e+04 3.528443491764705977e+05 4.471000000000000000e+03
3.218100000000000000e+04 3.528534762352940743e+05 4.481000000000000000e+03
3.218200000000000000e+04 3.528617774117646622e+05 4.178000000000000000e+03
3.218300000000000000e+04 3.528704254117647070e+05 4.402000000000000000e+03
3.218400000000000000e+04 3.528787774117647205e+05 4.593000000000000000e+03
3.218500000000000000e+04 3.528873491764705977e+05 4.557000000000000000e+03
3.218600000000000000e+04 3.528964762352941325e+05 4.699000000000000000e+03
3.218700000000000000e+04 3.529047774117646622e+05 5.130000000000000000e+03
3.218800000000000000e+04 3.529134254117647070e+05 4.503000000000000000e+03
3.218900000000000000e+04 3.529217774117647205e+05 4.832000000000000000e+03
3.219000000000000000e+04 3.529303491764706559e+05 4.660000000000000000e+03
3.219100000000000000e+04 3.529394762352941325e+05 4.539000000000000000e+03
3.219200000000000000e+04 3.529477774117647205e+05 4.683000000000000000e+03
3.219300000000000000e+04 3.529563491764705977e+05 4.845000000000000000e+03
3.219400000000000000e+04 3.529654762352940743e+05 5.075000000000000000e+03
3.219500000000000000e+04 3.529737774117646622e+05 4.546000000000000000e+03
